
[Share Update] | Share: TSLA | Price: $208.69 | Profit: $+189.22 | Status: DOWN | Time: May/11/16(10:26.58 AM)
[Share Update] | Share: FB | Price: $120.5099 | Profit: $+101.04 | Status: N/A | Time: May/11/16(10:29.42 AM)
[Share Update] | Share: FB | Price: $120.5 | Profit: $+101.03 | Status: N/A | Time: May/11/16(10:29.42 AM)
[Share Update] | Share: FB | Price: $119.92 | Profit: $+100.45 | Status: N/A | Time: May/11/16(10:29.44 AM)
[Share Update] | Share: FB | Price: $120.5099 | Profit: $+101.04 | Status: DOWN | Time: May/11/16(10:29.45 AM)
[Share Update] | Share: FB | Price: $120.5 | Profit: $+101.03 | Status: UP | Time: May/11/16(10:29.45 AM)
[Share Update] | Share: FB | Price: $120.5 | Profit: $+101.03 | Status: DOWN | Time: May/11/16(10:29.46 AM)
[Share Update] | Share: FB | Price: $119.93 | Profit: $+100.46 | Status: DOWN | Time: May/11/16(10:29.47 AM)
[Share Update] | Share: FB | Price: $120.5 | Profit: $+101.03 | Status: DOWN | Time: May/11/16(10:29.48 AM)
[Share Update] | Share: FB | Price: $120.5099 | Profit: $+101.04 | Status: DOWN | Time: May/11/16(10:29.49 AM)
[Share Update] | Share: FB | Price: $119.92 | Profit: $+100.45 | Status: DOWN | Time: May/11/16(10:29.51 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-2.87 | Status: N/A | Time: May/11/16(10:30.58 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-3.61 | Status: N/A | Time: May/11/16(10:30.59 AM)
[Share Update] | Share: SCTY | Price: $19.63 | Profit: $-1.8 | Status: N/A | Time: May/11/16(10:30.59 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-2.87 | Status: UP | Time: May/11/16(10:31.00 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-3.61 | Status: UP | Time: May/11/16(10:31.01 AM)
[Share Update] | Share: SCTY | Price: $19.63 | Profit: $-1.8 | Status: DOWN | Time: May/11/16(10:31.01 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-3.61 | Status: UP | Time: May/11/16(10:31.02 AM)
[Share Update] | Share: SCTY | Price: $18.56 | Profit: $-2.87 | Status: DOWN | Time: May/11/16(10:31.03 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-3.61 | Status: UP | Time: May/11/16(10:31.05 AM)
[Share Update] | Share: SCTY | Price: $19.62 | Profit: $-1.81 | Status: DOWN | Time: May/11/16(10:31.05 AM)
[Share Update] | Share: SCTY | Price: $17.82 | Profit: $-3.61 | Status: UP | Time: May/11/16(10:31.06 AM)
[Share Update] | Share: SCTY | Price: $19.62 | Profit: $-1.81 | Status: DOWN | Time: May/11/16(10:31.07 AM)
[Share Update] | Share: SCTY | Price: $21.23 | Profit: $+1.76 | Status: N/A | Time: Jun/13/16(08:53.32 AM)
[Share Update] | Share: SCTY | Price: $21.23 | Profit: $-0.07 | Status: N/A | Time: Jun/13/16(08:54.25 AM)
[Share Update] | Share: SCTY | Price: $21.23 | Profit: $-0.2 | Status: N/A | Time: Jun/13/16(08:56.00 AM)
[Share Update] | Share: LNKD | Price: $131.08 | Profit: $+109.65 | Status: N/A | Time: Jun/13/16(08:57.50 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.51 | Status: N/A | Time: Jun/13/16(08:59.13 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-20.06 | Status: N/A | Time: Jun/13/16(08:59.13 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.51 | Status: UP | Time: Jun/13/16(08:59.15 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-20.06 | Status: UP | Time: Jun/13/16(08:59.16 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.51 | Status: UP | Time: Jun/13/16(08:59.16 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-20.06 | Status: UP | Time: Jun/13/16(08:59.18 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.51 | Status: UP | Time: Jun/13/16(08:59.18 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-20.06 | Status: UP | Time: Jun/13/16(08:59.19 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.51 | Status: UP | Time: Jun/13/16(08:59.20 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-20.06 | Status: UP | Time: Jun/13/16(08:59.23 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.51 | Status: UP | Time: Jun/13/16(08:59.23 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-20.06 | Status: UP | Time: Jun/13/16(08:59.25 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.51 | Status: UP | Time: Jun/13/16(08:59.26 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: N/A | Time: Jun/13/16(09:00.17 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: N/A | Time: Jun/13/16(09:00.22 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.24 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.29 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.30 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.34 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.35 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.35 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.36 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.37 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.39 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.39 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.41 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.44 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.45 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.45 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.46 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.49 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.49 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.50 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.51 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.51 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.52 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.53 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.53 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.54 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.55 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.57 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.57 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:00.59 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:00.59 AM)
[Share Update] | Share: PWE | Price: $1.37 | Profit: $-19.93 | Status: UP | Time: Jun/13/16(09:01.00 AM)
[Share Update] | Share: PWE | Price: $0.92 | Profit: $-20.38 | Status: UP | Time: Jun/13/16(09:01.01 AM)
[Share Update] | Share: LNKD | Price: $131.08 | Profit: $+127.66 | Time: Jun/13/16(09:02.00 AM)
[Share Update] | Share: LNKD | Price: $131.08 | Profit: $+109.78 | Status: N/A | Time: Jun/13/16(09:04.57 AM)
[Share Update] | Share: LNKD | Price: $131.08 | Profit: $+109.78 | Status: N/A | Time: Jun/13/16(09:05.58 AM)
[Share Update] | Share: LNKD | Price: $131.08 | Profit: $-62.1 | Status: N/A | Time: Jun/13/16(09:06.28 AM)
[Share Update] | Share: LNKD | Price: $131.08 | Profit: $-0.01 | Status: N/A | Time: Jun/13/16(09:07.06 AM)
